monkey-KM-E-k11-Run21.clu	DEV 	cluster 6 	(286 objects):	914.431
monkey-KM-E-k11-Run21.clu	DEV 	cluster 10 	(243 objects):	714.792
monkey-KM-E-k11-Run21.clu	DEV 	cluster 3 	(238 objects):	581.012
monkey-KM-E-k11-Run21.clu	DEV 	cluster 11 	(262 objects):	798.078
monkey-KM-E-k11-Run21.clu	DEV 	cluster 4 	(466 objects):	1723.51
monkey-KM-E-k11-Run21.clu	DEV 	cluster 9 	(276 objects):	889.109
monkey-KM-E-k11-Run21.clu	VAR 	cluster 8 	(516 objects):	1.51152
monkey-KM-E-k11-Run21.clu	VAR 	cluster 1 	(489 objects):	1.42478
monkey-KM-E-k11-Run21.clu	VAR 	cluster 5 	(462 objects):	1.49202
monkey-KM-E-k11-Run21.clu	VAR 	cluster 7 	(407 objects):	1.39761
monkey-KM-E-k11-Run21.clu	VAR 	cluster 2 	(355 objects):	1.38559
monkey-KM-E-k11-Run21.clu	VAR 	cluster 6 	(286 objects):	1.7881
monkey-KM-E-k11-Run21.clu	VAR 	cluster 10 	(243 objects):	1.71509
monkey-KM-E-k11-Run21.clu	VAR 	cluster 3 	(238 objects):	1.56244
monkey-KM-E-k11-Run21.clu	VAR 	cluster 11 	(262 objects):	1.74531
monkey-KM-E-k11-Run21.clu	VAR 	cluster 4 	(466 objects):	1.92316
monkey-KM-E-k11-Run21.clu	VAR 	cluster 9 	(276 objects):	1.79483
monkey-KM-E-k11-Run21.clu	SIL 	cluster 8 	(516 objects):	0.855951
monkey-KM-E-k11-Run21.clu	SIL 	cluster 1 	(489 objects):	0.87083
monkey-KM-E-k11-Run21.clu	SIL 	cluster 5 	(462 objects):	0.874241
monkey-KM-E-k11-Run21.clu	SIL 	cluster 7 	(407 objects):	0.867318
monkey-KM-E-k11-Run21.clu	SIL 	cluster 2 	(355 objects):	0.895952
monkey-KM-E-k11-Run21.clu	SIL 	cluster 6 	(286 objects):	0.838176
monkey-KM-E-k11-Run21.clu	SIL 	cluster 10 	(243 objects):	0.847832
monkey-KM-E-k11-Run21.clu	SIL 	cluster 3 	(238 objects):	0.886963
monkey-KM-E-k11-Run21.clu	SIL 	cluster 11 	(262 objects):	0.867244
monkey-KM-E-k11-Run21.clu	SIL 	cluster 4 	(466 objects):	0.859122
monkey-KM-E-k11-Run21.clu	SIL 	cluster 9 	(276 objects):	0.879638
monkey-KM-E-k7-Run27.clu	CON 	cluster 1 	(730 objects):	141.438
monkey-KM-E-k7-Run27.clu	CON 	cluster 2 	(651 objects):	117.715
monkey-KM-E-k7-Run27.clu	CON 	cluster 5 	(610 objects):	154.186
monkey-KM-E-k7-Run27.clu	CON 	cluster 4 	(702 objects):	128.477
monkey-KM-E-k7-Run27.clu	CON 	cluster 6 	(304 objects):	90.4528
monkey-KM-E-k7-Run27.clu	CON 	cluster 3 	(514 objects):	46.46
monkey-KM-E-k7-Run27.clu	CON 	cluster 7 	(489 objects):	18.9088
monkey-KM-E-k7-Run27.clu	DEV 	cluster 1 	(730 objects):	2498.05
monkey-KM-E-k7-Run27.clu	DEV 	cluster 2 	(651 objects):	1586.64
monkey-KM-E-k7-Run27.clu	DEV 	cluster 5 	(610 objects):	1973.67
